track name,artist,spotify url,listeners,playcount,album,tags,album cover
Jeremy,Pearl Jam,https://open.spotify.com/track/62nQ8UZVqR2RMvkJHkcO2o,0.32993766806775643,0.14854933086200012,Ten,"Grunge, rock, 90s, alternative rock, alternative",https://i.scdn.co/image/ab67616d0000b273d400d27cba05bb0545533864
Heroes,Fearless Motivation,https://open.spotify.com/track/7gZihZdXEE5HMiXgWmKg47,1.8543409397046556e-05,2.970234891125582e-06,Unknown Album,,https://i.scdn.co/image/ab67616d0000b273ba87954d547b79c8e7c35ef5
Fight For Your Right,Beastie Boys,https://open.spotify.com/track/5NLuC70kZQv8q34QyQa1DP,0.20883529714799465,0.06363517404228855,Greatest Hits of the 80s,"Hip-Hop, 80s, rock, rap, alternative",https://i.scdn.co/image/ab67616d0000b273a7ea08ab3914c5fb2084a8ac
Numb,Linkin Park,https://open.spotify.com/track/2nLtzopw4rPReszdYBJU6h,0.6982628012543457,0.4643554486694732,Meteora,"rock, Nu Metal, Linkin Park, alternative rock, alternative",https://i.scdn.co/image/ab67616d0000b2735f1f51d14e8bea89484ecd1b
Don't Look Back In Anger,Oasis,https://open.spotify.com/track/7H0jlAh4VoUtdeBUurXae9,0.39828374951214895,0.19958616193966314,Stop the Clocks,"britpop, rock, 90s, british, oasis",https://i.scdn.co/image/ab67616d0000b27300a678b26ee5918f13202a68
Lightning Crashes,Live,https://open.spotify.com/track/48iWbsOaBUAGzMdoSmqyg1,0.13975848947704977,0.04676673339122114,Throwing Copper,"rock, 90s, alternative rock, alternative, live",https://i.scdn.co/image/ab67616d0000b27323d8d82a798baa960fdb5070
"Girls, Girls, Girls",Mötley Crüe,https://open.spotify.com/track/5xLyTbCFONUGUuG0LtUxjn,0.14404520419625766,0.05441088957049872,"Girls, Girls, Girls","hard rock, 80s, hair metal, rock, heavy metal",https://i.scdn.co/image/ab67616d0000b273a226e31b10f88c83e00e828a
American Idiot,Green Day,https://open.spotify.com/track/6nTiIhLmQ3FWhvrGafw2zj,0.5746338908042363,0.3052725281269785,American Idiot,"punk rock, rock, punk, green day, alternative",https://i.scdn.co/image/ab67616d0000b27308a1b1e0674086d3f1995e1b
I Am Unbreakable,Fearless Motivation,https://open.spotify.com/track/3R3KuO2Wst4e3Q7VUSQ7FR,7.880948993744787e-05,1.3421061359900777e-05,I Am Unbreakable - Single,,https://i.scdn.co/image/ab67616d0000b2731f6711ce249f9ef3a4deda06
Last Resort,Papa Roach,https://open.spotify.com/track/5W8YXBz9MTIDyrpYaCg2Ky,0.42903654529329155,0.21907367137772202,Infest,"rock, Nu Metal, alternative, Papa Roach, metal",https://i.scdn.co/image/ab67616d0000b273985bf5ede2fe4a048ee85f28
Black Hole Sun,Soundgarden,https://open.spotify.com/track/2EoOZnxNgtmZaD8uUmz2nD,0.5298092549576819,0.29429111136490527,Superunknown,"Grunge, rock, 90s, alternative rock, alternative",https://i.scdn.co/image/ab67616d0000b273ae6d8e36136353d550b2587d
Californication,Red Hot Chili Peppers,https://open.spotify.com/track/48UPSzbZjgc449aqz8bxox,0.7332463917857331,0.397677892363858,Californication,"rock, alternative rock, alternative, Red Hot Chili Peppers, funk",https://i.scdn.co/image/ab67616d0000b27394d08ab63e57b0cae74e8595
We Will Rock You - Remastered 2011,Queen,https://open.spotify.com/track/4pbJqGIASGPr0ZpGpnWkDn,0.18818083648740308,0.055911389899232215,News of the World (2011 Remaster),"rock, classic rock, hard rock, glam rock, pop",https://i.scdn.co/image/ab67616d0000b2731f7077ae1018b5fbab08dfa8
